f127.0.0.1:2222,127.0.0.1:1111	1106	4	0	12	4
f127.0.0.1:1111,127.0.0.1:2222	1109	3
f127.0.0.1:2222,127.0.0.1:1111	1110	4	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1110	3
f127.0.0.1:2222,127.0.0.1:1111	1110	-1	0	13
f127.0.0.1:2222,127.0.0.1:1111	1110	2
f127.0.0.1:1111,127.0.0.1:2222	1111	3	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	1116	2
f127.0.0.1:2222,127.0.0.1:1111	1116	1
f127.0.0.1:2222,127.0.0.1:1111	1116	2	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	1116	1
f127.0.0.1:2222,127.0.0.1:1111	1116	-1	0	14
f127.0.0.1:1111,127.0.0.1:2222	1116	2	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	1125	1
f127.0.0.1:1111,127.0.0.1:2222	1126	0
f127.0.0.1:2222,127.0.0.1:1111	1126	1	0	15	4
f127.0.0.1:2222,127.0.0.1:1111	1126	2	0	16	4
f127.0.0.1:2222,127.0.0.1:1111	1139	1
f127.0.0.1:2222,127.0.0.1:1111	1139	0
f127.0.0.1:1111,127.0.0.1:2222	1139	1	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	1139	0
f127.0.0.1:1111,127.0.0.1:2222	1139	-1	17	0
f127.0.0.1:1111,127.0.0.1:2222	1141	1	18	0	3
f127.0.0.1:1111,127.0.0.1:2222	1141	2	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	1142	3	20	0	3
f127.0.0.1:1111,127.0.0.1:2222	1142	4	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	1156	3
f127.0.0.1:1111,127.0.0.1:2222	1156	2
f127.0.0.1:1111,127.0.0.1:2222	1156	1
f127.0.0.1:2222,127.0.0.1:1111	1159	2	0	16	4
f127.0.0.1:1111,127.0.0.1:2222	1159	1
f127.0.0.1:2222,127.0.0.1:1111	1159	2	0	16	4
f127.0.0.1:2222,127.0.0.1:1111	1159	3	0	16	4
f127.0.0.1:2222,127.0.0.1:1111	1159	4	0	16	4
f127.0.0.1:2222,127.0.0.1:1111	1167	3
f127.0.0.1:2222,127.0.0.1:1111	1168	2
f127.0.0.1:2222,127.0.0.1:1111	1177	1
f127.0.0.1:2222,127.0.0.1:1111	1178	0
f127.0.0.1:1111,127.0.0.1:2222	2142	1	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	2146	0
f127.0.0.1:2222,127.0.0.1:1111	2146	1	0	17	4
f127.0.0.1:2222,127.0.0.1:1111	2146	0
f127.0.0.1:2222,127.0.0.1:1111	2146	-1	0	17
f127.0.0.1:1111,127.0.0.1:2222	3142	1	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	3146	0
f127.0.0.1:2222,127.0.0.1:1111	3147	1	0	17	4
f127.0.0.1:2222,127.0.0.1:1111	3151	0
f127.0.0.1:1111,127.0.0.1:2222	3151	1	18	0	3
f127.0.0.1:1111,127.0.0.1:2222	3151	2	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	3155	1
f127.0.0.1:2222,127.0.0.1:1111	3155	2	0	18	4
f127.0.0.1:1111,127.0.0.1:2222	3159	1
f127.0.0.1:2222,127.0.0.1:1111	3160	0
f127.0.0.1:2222,127.0.0.1:1111	3160	1	0	19	4
f127.0.0.1:1111,127.0.0.1:2222	3160	2	20	0	3
f127.0.0.1:1111,127.0.0.1:2222	3169	1
f127.0.0.1:2222,127.0.0.1:1111	3169	0
f127.0.0.1:2222,127.0.0.1:1111	3169	1	0	20	4
f127.0.0.1:1111,127.0.0.1:2222	3170	2	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	3170	3	22	0	3
f127.0.0.1:1111,127.0.0.1:2222	3170	2
f127.0.0.1:1111,127.0.0.1:2222	3170	-1	22	0
f127.0.0.1:1111,127.0.0.1:2222	3182	1
f127.0.0.1:2222,127.0.0.1:1111	3183	0
f127.0.0.1:2222,127.0.0.1:1111	3183	1	0	21	4
f127.0.0.1:1111,127.0.0.1:2222	3184	2	23	0	3
f127.0.0.1:1111,127.0.0.1:2222	3188	1
f127.0.0.1:2222,127.0.0.1:1111	3188	0
f127.0.0.1:2222,127.0.0.1:1111	3188	1	0	21	4
f127.0.0.1:1111,127.0.0.1:2222	3189	2	24	0	3
f127.0.0.1:2222,127.0.0.1:1111	3193	1
f127.0.0.1:1111,127.0.0.1:2222	3193	0
f127.0.0.1:2222,127.0.0.1:1111	3193	1	0	21	4
f127.0.0.1:2222,127.0.0.1:1111	3193	0
f127.0.0.1:2222,127.0.0.1:1111	3193	-1	0	21
f127.0.0.1:1111,127.0.0.1:2222	4189	1	22	0	3
f127.0.0.1:1111,127.0.0.1:2222	4194	0
f127.0.0.1:2222,127.0.0.1:1111	4194	1	0	22	4
f127.0.0.1:2222,127.0.0.1:1111	4198	0
f127.0.0.1:1111,127.0.0.1:2222	4198	1	23	0	3
f127.0.0.1:1111,127.0.0.1:2222	4198	2	24	0	3
f127.0.0.1:1111,127.0.0.1:2222	4202	1
f127.0.0.1:2222,127.0.0.1:1111	4203	2	0	23	4
f127.0.0.1:1111,127.0.0.1:2222	4206	1
f127.0.0.1:2222,127.0.0.1:1111	4207	2	0	24	4
f127.0.0.1:2222,127.0.0.1:1111	4207	1
f127.0.0.1:1111,127.0.0.1:2222	4207	2	25	0	3
f127.0.0.1:1111,127.0.0.1:2222	4211	1
f127.0.0.1:2222,127.0.0.1:1111	4211	2	0	25	4
f127.0.0.1:2222,127.0.0.1:1111	4215	1
f127.0.0.1:1111,127.0.0.1:2222	4215	2	26	0	3
f127.0.0.1:1111,127.0.0.1:2222	4215	3	27	0	3
f127.0.0.1:1111,127.0.0.1:2222	4224	2
f127.0.0.1:1111,127.0.0.1:2222	4224	1
f127.0.0.1:2222,127.0.0.1:1111	4224	0
f127.0.0.1:2222,127.0.0.1:1111	4225	1	0	26	4
f127.0.0.1:2222,127.0.0.1:1111	4225	2	0	27	4
f127.0.0.1:1111,127.0.0.1:2222	4225	3	28	0	3
f127.0.0.1:1111,127.0.0.1:2222	4229	2
f127.0.0.1:2222,127.0.0.1:1111	4229	1
f127.0.0.1:2222,127.0.0.1:1111	4229	2	0	28	4
f127.0.0.1:1111,127.0.0.1:2222	4230	3	29	0	3
f127.0.0.1:2222,127.0.0.1:1111	4233	2
f127.0.0.1:1111,127.0.0.1:2222	4233	3	30	0	3
f127.0.0.1:1111,127.0.0.1:2222	4233	4	31	0	3
f127.0.0.1:1111,127.0.0.1:2222	4234	3
f127.0.0.1:2222,127.0.0.1:1111	4234	4	0	29	4
f127.0.0.1:2222,127.0.0.1:1111	4238	3
f127.0.0.1:1111,127.0.0.1:2222	4238	4	32	0	3
f127.0.0.1:1111,127.0.0.1:2222	4241	3
f127.0.0.1:2222,127.0.0.1:1111	4241	4	0	30	4
f127.0.0.1:2222,127.0.0.1:1111	4242	3
f127.0.0.1:1111,127.0.0.1:2222	4242	4	33	0	3
f127.0.0.1:1111,127.0.0.1:2222	4242	3
f127.0.0.1:1111,127.0.0.1:2222	4242	-1	33	0
f127.0.0.1:1111,127.0.0.1:2222	4245	2
f127.0.0.1:2222,127.0.0.1:1111	4245	3	0	31	4
f127.0.0.1:1111,127.0.0.1:2222	4249	2
f127.0.0.1:2222,127.0.0.1:1111	4250	1
